"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","3.7V","",""
"2","D1","1","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",""
"3","SW1","1","SW_MEC_5G","",""
"4","U1","1","XIAO ESP32C3","XIAO_ESP32C3:xiao_esp32c3",""
"5","U2","1","ULN2003","",""
